Country Code,Bachelors_Rate_20XX
AFG,3.984
ALB,19.835
DZA,11.436
AND,25.04
AGO,0.126
ATG,11.894
ARM,28.291
ABW,12.82
AUS,35.765
AUT,16.605
AZE,17.67
BHS,15.23
BHR,29.58
BGD,7.572
BRB,1.06
BLR,28.3
BEL,39.385
BLZ,4.45
BEN,4.792
BMU,31.11
BTN,10.2
BOL,17.877
BIH,11.276
BWA,9.646
BRA,16.54
BRN,17.575
BGR,26.398
BFA,2.291
BDI,0.91
CPV,6.93
KHM,4.562
CMR,6.422
CAN,32.888
CYM,29.86
CAF,1.812
TCD,1.757
CHL,21.545
CHN,7.68
COL,16.473
COM,14.056
COD,7.414
COG,7.823
CRI,21.61
CIV,4.765
HRV,19.044
CUB,15.329
CUW,30.17
CYP,33.165
CZE,20.973
DNK,32.725
DJI,7.064
DMA,6.838
DOM,18.714
ECU,12.13
EGY,
SLV,7.27
EST,32.66
SWZ,18.251
ETH,6.289
FJI,10.02
FIN,28.798
FRA,24.355
GMB,9.049
GEO,34.539
DEU,29.206
GHA,6.23
GRC,28.93
GRD,6.118
GTM,4.162
GIN,22.704
GNB,2.704
GUY,4.469
HTI,4.531
HND,9.63
HUN,26.128
ISL,34.23
IND,13.23
IDN,9.327
IRN,18.25
IRQ,10.939
IRL,37.272
ISR,38.054
ITA,16.49
JAM,10.95
JPN,25.54
JOR,20.927
KAZ,37.675
KEN,6.093
KIR,1.99
PRK,34.536
KOR,35.637
KWT,11.12
KGZ,24.265
LAO,5.194
LVA,31.95
LBN,22.142
LSO,5.611
LBR,5.064
LTU,41.415
LUX,42.331
MAC,33.024
MDG,2.927
MWI,1.321
MYS,14.56
MDV,10.957
MLI,3.815
MLT,22.617
MHL,4.189
MRT,2.922
MUS,
MEX,17.13
FSM,7.096
MDA,20.964
MCO,44.176
MNG,31.71
MNE,61.091
MOZ,3.038
MMR,12.356
NAM,9.276
NRU,1.568
NPL,5.819
NLD,36.628
NCL,19.574
NZL,32.28
NIC,20.294
NER,1.145
NGA,3.477
MKD,21.04
NOR,31.173
OMN,19.11
PAK,8.625
PLW,14.693
PAN,16.128
PNG,3.14
PRY,14.19
PHL,18.076
POL,28.645
PRT,23.958
PRI,7.59
QAT,30.39
ROU,15.283
RUS,41.22
RWA,5.149
WSM,16.484
SMR,18.39
STP,4.848
SAU,30.889
SEN,4.904
SRB,18.669
SLE,1.958
SGP,36.19
SVK,25.838
SVN,26.089
SLB,12.899
SOM,4.27
ZAF,12.2
SSD,3.77
ESP,24.707
LKA,0.912
SDN,9.347
SUR,4.951
SWE,33.694
CHE,41.265
TJK,12.01
TZA,2.32
THA,17.35
TLS,1.265
TGO,5.884
TON,5.459
TTO,10.14
TUN,12.803
TUR,20.942
TKM,13.839
TCA,11.749
TUV,6.051
UGA,4.435
UKR,16.75
ARE,51.07
GBR,37.13
USA,38.568
URY,22.01
UZB,16.85
VUT,2.581
VEN,22.257
VNM,11.221
PSE,22.75
YEM,4.988
ZMB,2.712
ZWE,0.914
