Country,Difference
AFG,1289.93407
AGO,876.06819
ALB,39.422246
ARE,12.275291
ARG,53.025917
ARM,26.838265
ATG,37.738412
AUS,5.074828499999999
AUT,5.309167700000001
AZE,12.073242
Africa,440.12677
Asia,291.09895500000005
BDI,848.8545
BEL,3.7543690000000005
BEN,196.04930000000002
BFA,531.53977
BGD,784.437256
BGR,18.346506
BHR,21.0789365
BHS,-21.447906000000003
BIH,41.768651
BLR,41.2226367
BLZ,-16.011500000000012
BOL,425.60145000000006
BRA,154.87845
BRB,13.564647
BRN,14.149223
BTN,775.125246
BWA,42.91991999999999
CAF,167.85503000000006
CAN,-4.057933300000001
CHE,2.271921400000001
CHL,60.426401
CHN,91.418126
CIV,187.10415999999998
CMR,256.57867000000005
COD,624.1233
COG,348.24387
COL,55.19415000000001
COM,439.25808000000006
CPV,357.58302
CRI,27.584479
CUB,29.893681
CYP,-30.172644000000005
CZE,9.7521445
DEU,5.876993000000001
DJI,472.6772199999999
DNK,6.815992
DOM,46.74875999999999
DZA,177.89121400000002
ECU,172.89210000000003
EGY,135.96328999999997
ERI,1236.0902800000001
ESP,2.4705545000000004
EST,43.90007
ETH,1030.6140599999999
Europe,40.788547
FIN,-2.7735801
FJI,26.863545000000002
FRA,10.407228399999997
FSM,37.668004999999994
GAB,224.08965
GBR,-1.4110320000000005
GEO,16.670676999999998
GHA,584.87616
GIN,684.8535
GMB,743.9312699999999
GNB,926.8323
GNQ,1090.1624
GRC,-0.322781
GRD,32.799576
GTM,172.097505
GUY,163.2044
HND,151.734605
HRV,8.066711399999999
HTI,359.97236000000004
HUN,10.307625999999999
High-income countries,10.234160999999999
IDN,322.4069
IND,544.2258850000001
IRL,6.0744457
IRN,80.326593
IRQ,125.75098999999999
ISL,4.1086385
ISR,37.4141282
ITA,13.487270000000002
JAM,-53.758775
JOR,55.013149999999996
JPN,13.109070500000001
KAZ,86.426998
KEN,50.15043000000003
KGZ,46.625718000000006
KHM,469.82325000000003
KIR,136.85719
KOR,31.166520499999997
KWT,6.012857600000001
LAO,751.92715
LBN,46.228251
LBR,713.03425
LBY,-14.595653999999996
LCA,-24.62382999999999
LKA,40.967514
LSO,-0.9377399999999625
LTU,22.453324
LUX,6.074540000000001
LVA,32.04795300000001
Low-income countries,696.5923499999999
Lower-middle-income countries,346.91852
MAR,601.89084
MDA,62.93174900000001
MDG,418.92422
MDV,307.88432
MEX,38.107388
MKD,14.8872886
MLI,900.9564399999999
MLT,13.2875482
MMR,393.82394
MNE,4.510566000000001
MNG,172.002036
MOZ,1113.1446700000001
MRT,317.44527999999997
MUS,57.33569
MWI,511.11524000000003
MYS,34.000628999999996
NAM,113.78094999999999
NER,687.6287599999999
NGA,235.78060000000005
NIC,192.04007
NLD,7.1346099999999995
NOR,5.3198226
NPL,997.0803300000001
NZL,9.874183000000002
North America,34.968242000000004
OMN,14.050035000000001
Oceania,32.47860999999999
PAK,213.96021
PAN,38.427717
PER,205.44104
PHL,177.69831
PNG,162.41384999999997
POL,15.5541684
PRI,-2.5132200000000005
PRK,8.353264999999993
PRT,3.7818500000000004
PRY,180.81725
PSE,89.827467
QAT,16.323866000000002
ROU,202.29082799999998
RUS,93.114227
RWA,693.17518
SAU,19.567242
SDN,895.1656499999999
SEN,499.09175
SGP,10.2421774
SLB,56.95664000000001
SLE,984.6967
SLV,167.677098
SOM,578.3354
SRB,6.756503499999999
SSD,2069.2531
STP,110.72225000000003
SUR,319.03371000000004
SVK,4.94109
SVN,11.49317
SWE,2.7333560000000006
SWZ,244.7109
SYC,53.4514967
SYR,25.637204
South America,121.84842
TCD,356.50929999999994
TGO,280.97927
THA,48.957947000000004
TJK,96.990801
TKM,88.866413
TLS,1467.91228
TON,3.337459999999993
TTO,82.313416
TUN,88.035991
TUR,35.841552
TZA,605.61074
UGA,473.07062
UKR,49.64142100000001
URY,29.983577000000004
USA,-10.3557295
UZB,62.754133
Upper-middle-income countries,79.01812699999999
VCT,16.004101000000006
VEN,-153.82489599999997
VNM,97.69235499999999
VUT,66.68733999999999
WSM,57.348704999999995
World,216.56082999999998
YEM,282.71193999999997
ZAF,41.19144999999999
ZMB,420.77757999999994
ZWE,74.78175000000005
