Country Code,Population
ABW,108908
AFE,657801085
AFG,36743039
AFW,452195915
AGO,31297155
ALB,2866376
AND,75162
ARB,435998060
ARE,9346701
ARG,44654882
ARM,2969000
ASM,50908
ATG,90926
AUS,24963258
AUT,8840521
AZE,9939771
BDI,11859446
BEL,11427054
BEN,12383347
BFA,20438288
BGD,163523103
BGR,7025037
BHR,1503091
BHS,392717
BIH,3387000
BLR,9438785
BLZ,380226
BMU,63831
BOL,11508368
BRA,206107261
BRB,280711
BRN,437810
BTN,759759
BWA,2299141
CAF,4878657
CAN,37072620
CEB,102439383
CHE,8514329
CHI,164949
CHL,18893191
CHN,1402760000
CIV,27464173
CMR,24806383
COD,90047644
COG,5483118
COL,49024465
COM,771590
CPV,513415
CRI,4957818
CSS,3048465
CUB,11227118
CUW,159336
CYM,65941
CYP,1270737
CZE,10629928
DEU,82905782
DJI,1071882
DMA,68174
DNK,5793636
DOM,10782053
DZA,42505035
EAP,2100698838
EAR,3314245247
EAS,2347576325
ECA,246654915.5
ECS,919738352.5
ECU,17049547
EGY,105682094
EMU,346105839
ERI,3192760
ESP,46797754
EST,1321977
ETH,112664152
EUU,446953938
FCS,953648681
FIN,5515525
FJI,917180
FRA,67158348
FRO,50998
FSM,109909
GAB,2212318
GBR,66460344
GEO,3726549
GHA,30637585
GIB,34854
GIN,12704774
GMB,2399632
GNB,1922168
GNQ,1616422
GRC,10732882
GRD,115691
GRL,56023
GTM,16845685
GUM,162679
GUY,791556
HIC,1379152141
HKG,7452600
HND,9765210
HPC,802020674
HRV,3988775
HTI,10962362
HUN,9775564
IBD,4807550491
IBT,6518627024.5
IDA,1711076533.5
IDB,574487740
IDN,269951846
IDX,1136588793.5
IMN,83805
IND,1374659064
INX,
IRL,4867316
IRN,86117998
IRQ,40265624
ISL,352721
ISR,8882800
ITA,60421760
JAM,2820097
JOR,10462306
JPN,126811000
KAZ,18932727
KEN,50207107
KGZ,6444078.5
KHM,16274522
KIR,122084
KNA,47008
KOR,51585058
KWT,108908
LAC,657801085
LAO,36743039
LBN,452195915
LBR,31297155
LBY,2866376
LCA,75162
LCN,435998060
LDC,9346701
LIC,44654882
LIE,2969000
LKA,50908
LMC,90926
LMY,24963258
LSO,8840521
LTE,9939771
LTU,11859446
LUX,11427054
LVA,12383347
MAC,20438288
MAF,163523103
MAR,7025037
MCO,1503091
MDA,392717
MDG,3387000
MDV,9438785
MEA,380226
MEX,63831
MHL,11508368
MIC,206107261
MKD,280711
MLI,437810
MLT,759759
MMR,2299141
MNA,4878657
MNE,37072620
MNG,102439383
MNP,8514329
MOZ,164949
MRT,18893191
MUS,1402760000
MWI,27464173
MYS,24806383
NAC,90047644
NAM,5483118
NCL,49024465
NER,771590
NGA,513415
NIC,4957818
NLD,3048465
NOR,11227118
NPL,159336
NRU,65941
NZL,1270737
OED,10629928
OMN,82905782
OSS,1071882
PAK,68174
PAN,5793636
PER,31897584
PHL,109465287
PLW,17814
PNG,9394513
POL,37974750
PRE,946317177
PRI,3193354
PRK,25931147
PRT,10283822
PRY,6427382
PSE,4569087
PSS,2542009
PST,1110512190
PYF,279815
QAT,2580734
ROU,19473970
RUS,145398106
RWA,12487996
SAS,1852836645
SAU,30196281
SDN,44230596
SEN,15914498
SGP,5638676
SLB,709101
SLE,7554563
SLV,6219807
SMR,34522
SOM,15452487
SRB,6982604
SSA,1109900238
SSD,10122977
SSF,1109997000
SST,19225348
STP,210187
SUR,599513
SVK,5446771
SVN,2073894
SWE,10175214
SWZ,1168929
SXM,39712
SYC,96762
SYR,19577845
TCA,41559
TCD,16156531
TEA,2074796982
TEC,460515553.5
TGO,8258778
THA,71376079
TJK,9307333
TKM,6655524
TLA,620274430
TLS,1275959
TMN,400206414
TON,105567
TSA,1852836645
TSS,1109997000
TTO,1359193
TUN,11765514
TUR,81407204
TUV,10751
TZA,57437145
UGA,41565831
UKR,45208907
UMC,2758643432
URY,3394534
USA,326838199
UZB,32373490
VCT,104926
VEN,29807592
VGB,34657
VIR,107001
VNM,96237319
VUT,285259
WLD,7696494847.5
WSM,207582
XKX,1797086
YEM,34085182
ZAF,58613001
ZMB,17973569
ZWE,15034452
